   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
   0    1    1  11.302807    -1.374481     0.000000      1.37448   12.23995    0.02092    4
   0    2    0   8.900000   111.105587    -0.000000      111.106   15.56272   42.52403    2
   1    0    0   7.643794   119.328524     0.000000      119.329   18.14037   36.30248    2
   0    2    1   7.603721   -34.954291    -0.000000      34.9543   18.23679    6.16555    4
   0    0    2   7.315534    78.472183    -0.000000      78.4722   18.96170   14.39666    2
   1    1   -1   7.305216    10.641362     0.000000      10.6414   18.98873    0.52801    4
   1    1    0   7.023579   -16.322297     0.000000      16.3223   19.75764    1.14964    4
   0    1    2   6.766370    26.818731     0.000000      26.8187   20.51666    2.88391    4
   1    0   -2   6.538293   230.994231     0.000000      230.994   21.24051  100.00000    2
   1    1   -2   6.137352   -38.613560    -0.000000      38.6136   22.64588    4.93598    4
   1    2   -1   5.954178    -7.244042    -0.000000      7.24404   23.35221    0.16371    4
   1    2    0   5.798698   -93.079611     0.000000      93.0796   23.98753   25.66556    4
   1    1    1   5.666191   -99.234920     0.000000      99.2349   24.55714   27.88408    4
   0    2    2   5.651404   -91.041188     0.000000      91.0412   24.62240   23.35002    4
   0    3    1   5.498415    88.034399    -0.000000      88.0344   25.31871   20.69488    4
   1    2   -2   5.269228    70.993506     0.000000      70.9935   26.43948   12.38769    4
   1    2    1   4.961964    16.110859     0.000000      16.1109   28.10932    0.56773    4
   1    1   -3   4.783588    -4.365034    -0.000000      4.36503   29.18030    0.03883    4
   1    3   -1   4.767974    79.771510    -0.000000      79.7715   29.27799   12.88519    4
   0    1    3   4.703664   -57.676878     0.000000      57.6769   29.68742    6.56163    4
   1    3    0   4.687006   -11.776132     0.000000      11.7761   29.79537    0.27167    4
   0    3    2   4.608190   -35.437665     0.000000      35.4377   30.31710    2.38104    4
   1    0    2   4.554428   191.146401    -0.000000      191.146   30.68372   33.86287    2
   0    4    0   4.450000   215.962871    -0.000000      215.963   31.42215   41.34087    2
   1    1    2   4.412286    27.079261    -0.000000      27.0793   31.69777    1.27887    4
   1    3   -2   4.393845    39.174275    -0.000000      39.1743   31.83432    2.65500    4
   1    2   -3   4.336789    39.976709     0.000000      39.9767   32.26450    2.69645    4
   0    2    3   4.276968    -1.291697     0.000000       1.2917   32.72836    0.00274    4
